1900	1800	900
1100	1200	900
800	18700	1200
1300	2200	1700
3000	5400	2800
2000	3200	2400
17700	12800	4000
3600	10300	4400
3000	8600	4900
5300	10900	5900
5300	30800	7200
4600	7900	37900
15800	47900	42500
4800	9000	5700
5600	12700	74800
5900	12300	9600
6000	12300	7400
5600	16400	8100
7200	19100	54400
8200	17400	11200
8200	18700	10400
6800	21200	11300
10300	26200	13400
8300	23100	13400
11400	29700	14800
11500	29500	16500
10700	30300	16100
13300	21000	13000
9200	25600	13400
12100	31700	16800
9300	27000	14900
11000	34700	15700
11700	35500	17400
13700	36900	18600
11300	42000	19700
12400	54300	19900
17300	48800	21400
13800	45200	22200
15600	53000	23300
15900	47200	25200
16000	49000	25900
20100	60200	27300
19200	59600	28100
23000	70700	29500
18000	69400	32100
22000	73000	32000
21900	55300	32900
18600	65800	34300
23400	93100	37400
24300	84600	123600
28400	100200	42000
31900	102200	12600
29200	106900	14000
29700	113700	14000
30000	571800	16200
33000	144400	15100
35700	125700	15200
35800	132000	15900
26800	151700	612000
38800	182600	16900
39500	69200	17000
35000	60600	17200
40400	66100	17300
43100	72000	19900
77700	77600	19100
50500	184800	23100
38300	65800	19300
40600	66700	20400
41200	70300	20800
42300	69800	20700
45400	78600	22700
50300	90900	22400
50300	57400	22000
51000	46800	22000
49600	46600	21700
60400	51100	22600
60900	56000	23500
54600	54300	24000
52400	54600	24500
66400	60400	25000
57100	55200	25300
69800	64500	26400
60300	55000	27300
63400	62100	27600
63200	63100	28400
66600	61400	28300
409000	62300	29200
81500	62000	29500
416100	121300	30500
66400	76300	31500
33000	66700	31600
25200	72800	32800
22300	77800	33400
21900	74200	33600
30900	86200	34600
27700	80600	35400
37800	84200	38100
26700	82400	36400
29400	85400	41500
32000	90400	39600
29600	93500	38500
29300	91000	40400
33300	92200	40600
33000	93700	40600
35200	103800	44300
36400	93900	41900
34400	103000	42800
27874200	234100	102600
140500	127500	30500
33000	63700	25600
32600	56800	26300
164000	65000	26300
36100	61400	39200
79000	64500	27200
40700	66300	27500
37000	58700	28100
536200	70200	28700
39600	69600	29600
42300	68100	29900
42400	69300	30300
46700	73200	31200
43900	75000	31400
42300	73300	31900
42900	66400	32900
46000	74400	32800
46100	71000	33600
46300	81900	34100
48100	79400	34400
52200	84200	35200
42300	78500	35200
45800	83700	36200
48200	74600	36600
57300	88000	37400
55700	86200	38600
54000	84900	39000
51000	84600	40200
54700	96500	396500
59900	97500	40300
53100	92200	40800
56000	94500	41400
55900	93000	42600
66200	102800	43100
60200	102600	43500
62100	106500	45000
63200	99000	45100
60100	93900	45500
79400	107800	46300
69500	110600	47000
56600	103200	47700
62000	104700	50600
64800	100000	48400
64300	112900	50000
68400	120300	49300
35500	114700	50800
29300	114400	51800
28900	109600	51700
30100	112600	54400
30600	125400	52900
29800	123600	53500
31200	122700	54400
30800	364400	55200
31600	126800	56000
31700	135500	58800
33900	126800	57600
32100	142200	58600
32000	125900	58800
33200	133000	59600
33500	122700	73900
35800	140500	60500
34800	138100	61500
36500	141900	62200
34500	144100	63000
35200	138700	63700
33800	146700	64700
35000	148900	65400
32700	137000	65800
36700	149400	67600
37300	149100	110500
38900	142900	67100
39500	153900	68500
39800	192600	478300
41600	145200	87400
41400	153000	70400
43500	161100	71600
40800	160800	72800
43300	159800	73500
42800	162300	74300
44200	166000	74800
42100	164700	77600
44700	164200	75800
47300	182600	76700
159500	173000	77200
49100	183800	78200
48500	171700	78700
47000	172300	80100
46600	198400	81300
50100	185300	81000
50600	184600	84400
48700	181200	83100
50000	182600	84400
94800	197600	85500
48300	189200	85900
50800	190400	86300
45600	196900	88100
48800	189300	88800
51100	197600	90400
49800	14491400	91400
51600	187600	91900
56000	202000	91500
55400	583300	363100
52000	209200	94600
52600	208500	117500
53100	203900	95200
53200	224100	96600
61100	220300	96800
58600	208800	98400
59600	231300	100800
58500	229200	100700
57700	217000	101000
60200	223800	101800
55800	226400	103700
74000	229500	103700
61000	244400	104300
58100	219900	106300
62300	237000	118900
64200	247600	107400
57100	301600	124400
65000	247800	125400
59800	230600	109400
68300	253500	112800
63500	250300	421200
66900	457000	150400
64600	242600	116000
69400	244300	115600
68400	254700	117600
66300	309900	116800
67700	253900	118000
69300	249800	119200
214500	299300	122300
66500	261300	120700
70500	268300	121800
71500	310100	139300
69100	275000	126900
68500	251200	125600
72500	266200	128700
79000	460700	1390700
73000	284700	128300
76100	1351400	130900
81800	297600	135500
73500	282600	131300
77900	731900	3373900
79600	8152100	135300
80800	483200	134800
82900	297000	136300
81800	297500	240800
71800	287700	201400
84500	568100	162700
86700	342600	139400
87600	311100	216100
184600	343500	233000
82800	396400	161800
1630200	2850200	274400
85300	324900	145000
120100	750600	146600
152900	7018200	155500
399200	781000	1741200
181000	1467600	149600
91000	500800	150200
81800	358200	161900
88100	381400	628300
1944000	3410900	153700
1407200	372800	161600
83400	344400	246400
94200	458200	157300
255100	397300	158300
93600	346800	162000
96600	341300	160700
95300	343700	163100
1030300	344400	165400
113800	350000	164700
96000	353000	181400
93800	354100	169700
91900	348300	169000
95400	377000	169300
98000	401400	170800
142700	393800	171800
103700	377900	174700
98400	709200	206000
107800	414900	330400
97100	376700	176700
95600	561800	229500
102200	398900	186700
111700	394900	181200
96300	385300	180900
100100	548700	182500
102300	413600	183900
100400	378600	185400
158500	422900	291900
105200	499400	189900
107600	404500	253500
107300	713200	190100
107400	673400	191500
108000	410000	193100
111800	456100	193600
109700	474800	194700
117800	437100	195700
114400	428300	198200
115600	420400	199300
113700	422500	201100
110400	2640800	205100
111600	433800	203600
165000	436000	205300
125800	470400	206900
109600	696700	355300
123900	466000	210600
120800	476300	212000
129200	476600	212500
136900	475400	213800
118200	485900	214900
199200	470200	948400
417600	464100	222400
124600	474600	231400
117900	468700	221000
140600	579000	220400
127400	534400	231000
133800	594000	254100
126500	485100	409500
126600	486200	226800
130200	472000	230400
123500	484700	229600
904300	526500	380500
127900	600800	731900
308700	672500	245200
128900	554200	233500
137300	675700	234700
202100	461700	242700
137300	506300	240200
411200	527500	327600
248900	552800	3097300
155200	536400	244300
134800	509400	286400
208500	670000	246600
143700	842200	249200
388900	4107000	250400
145800	552800	252400
153300	1247400	252000
153000	606900	252100
147400	1386500	346600
145300	612500	297200
652500	1064100	427400
244100	596100	273000
167800	746900	4173700
